"","punk","bid","bid_withdrawn","offer","offer_withdrawn","transfer","unwrap","wrap","largest_bid","sold_price","sold_date","last_sold_price"
"8751",1966,0,0,7,1,1,1,1,NA,"296694",2021-08-27,"180584"
"8752",1966,1,1,2,0,0,0,0,"125305","180584",2021-08-10,"45553"
"8753",1966,1,0,4,3,0,0,0,"31076","45553",2021-04-08,"33478"
"8754",1966,2,1,2,0,1,0,0,"33310","33478",2021-04-03,"NA"
"8755",1967,0,0,5,1,2,1,0,NA,"331787",2021-08-27,"633"
"8756",1967,0,0,0,0,1,0,1,NA,"633",2020-09-19,"498"
"8757",1967,1,0,0,0,0,0,0,"498","498",2020-09-12,"NA"
"8758",1968,0,0,1,0,0,0,0,NA,"350929",2021-08-27,"NA"
"8759",1969,0,0,1,0,0,0,0,NA,"287123",2021-08-27,"145505"
"8760",1969,0,0,2,0,0,0,0,NA,"145505",2021-08-12,"132185"
"8761",1969,1,0,2,0,5,0,0,"131894","132185",2021-08-11,"NA"
"8762",1970,0,0,3,0,4,0,0,NA,"298419",2021-08-27,"NA"
"8763",1971,0,0,3,0,0,0,0,NA,"301592",2021-08-27,"255355"
"8764",1971,0,0,2,1,0,0,0,NA,"255355",2021-08-25,"232305"
"8765",1971,0,1,2,0,0,0,0,NA,"232305",2021-08-23,"181024"
"8766",1971,2,1,5,0,0,0,0,"174672","181024",2021-08-11,"101521"
"8767",1971,0,0,2,0,0,0,0,NA,"101521",2021-08-01,"97418"
"8768",1971,0,0,1,0,0,0,0,NA,"97418",2021-08-01,"95643"
"8769",1971,0,0,1,0,0,0,0,NA,"95643",2021-08-01,"73858"
"8770",1971,1,1,6,0,0,0,0,"53979","73858",2021-07-31,"503"
"8771",1971,0,0,2,0,0,0,0,NA,"503",2020-05-26,"110"
"8772",1971,0,0,1,0,0,0,0,NA,"110",2017-07-12,"NA"
"8773",1972,2,1,1,0,0,0,0,"14","329866",2021-08-27,"NA"
"8774",1973,0,0,5,1,0,0,0,NA,"289622",2021-08-27,"64792"
"8775",1973,1,1,7,0,0,0,0,"79913","64792",2021-07-30,"46892"
"8776",1973,1,0,2,0,1,0,0,"0.01","46892",2021-02-21,"107"
"8777",1973,0,0,1,0,0,0,0,NA,"107",2020-04-26,"27"
"8778",1973,1,1,3,0,0,0,0,"82","27",2018-06-11,"NA"
"8779",1974,0,0,3,0,0,0,0,NA,"345260",2021-08-27,"168921"
"8780",1974,0,0,4,2,0,0,0,NA,"168921",2021-08-22,"104316"
"8781",1974,0,0,5,0,1,0,0,NA,"104316",2021-04-17,"63898"
"8782",1974,0,0,10,5,0,0,0,NA,"63898",2021-03-11,"56494"
"8783",1974,0,0,10,2,0,0,0,NA,"56494",2021-02-21,"34519"
"8784",1974,3,0,0,0,1,0,0,"9","34519",2021-02-13,"NA"
"8785",1975,1,1,6,0,0,0,0,"332013","347033",2021-08-27,"291254"
"8786",1975,4,2,14,2,0,0,0,"294631","291254",2021-08-24,"1095"
"8787",1975,0,0,1,0,0,0,0,NA,"1095",2020-09-20,"225"
"8788",1975,1,1,2,1,0,0,0,"46","225",2020-05-25,"NA"
"8789",1976,0,0,1,0,0,0,0,NA,"287805",2021-08-27,"249938"
"8790",1976,0,0,2,1,0,0,0,NA,"249938",2021-08-26,"177690"
"8791",1976,0,0,1,0,0,0,0,NA,"177690",2021-08-06,"56355"
"8792",1976,0,1,2,1,0,0,0,NA,"56355",2021-07-30,"33885"
"8793",1976,1,1,1,0,0,0,0,"32636","33885",2021-03-30,"28699"
"8794",1976,2,1,4,0,0,0,0,"27011","28699",2021-03-28,"32608"
"8795",1976,2,0,4,0,1,0,0,"30892","32608",2021-03-28,"NA"
"8796",1977,0,0,2,0,0,0,0,NA,"0",2022-04-02,"284583"
"8797",1977,0,0,10,1,0,0,0,NA,"284583",2021-08-27,"48407"
"8798",1977,6,6,9,0,0,0,0,"45133","48407",2021-06-06,"74542"
"8799",1977,0,0,1,0,0,0,0,NA,"74542",2021-05-09,"NA"
"8800",1978,0,0,2,1,0,0,0,NA,"282907",2021-08-27,"240179"
"8801",1978,1,2,8,8,1,0,0,"219060","240179",2021-08-27,"60124"
"8802",1978,1,0,2,1,0,1,0,"45907","60124",2021-04-28,"35762"
"8803",1978,1,1,5,0,2,0,1,"27127","35762",2021-04-05,"NA"
"8804",1979,1,0,7,2,0,0,0,"160266","270954",2021-08-27,"157070"
"8805",1979,0,0,1,0,0,0,0,NA,"157070",2021-08-11,"130746"
"8806",1979,1,0,2,0,1,0,0,"69","130746",2021-08-09,"NA"
"8807",1980,0,0,2,1,0,0,0,NA,"265611",2021-08-27,"212652"
"8808",1980,1,1,2,1,3,0,0,"179179","212652",2021-08-06,"NA"
"8809",1981,3,2,13,5,0,0,0,"61178","347823",2021-08-27,"58781"
"8810",1981,0,0,1,0,0,0,0,NA,"58781",2021-02-21,"NA"
"8811",1982,1,0,3,4,0,0,0,"252962","268456",2021-08-27,"230581"
"8812",1982,0,0,4,2,1,0,0,NA,"230581",2021-08-23,"85946"
"8813",1982,0,0,1,0,0,0,0,NA,"85946",2021-08-01,"36057"
"8814",1982,0,0,2,0,3,0,0,NA,"36057",2021-03-11,"NA"
"8815",1983,0,0,3,0,0,0,0,NA,"280440",2021-08-27,"181048"
"8816",1983,0,0,1,0,0,0,0,NA,"181048",2021-08-23,"15596"
"8817",1983,0,0,1,0,0,0,0,NA,"15596",2021-02-16,"NA"
"8818",1984,0,0,3,0,0,0,0,NA,"278080",2021-08-27,"156723"
"8819",1984,0,1,5,2,1,1,1,NA,"156723",2021-08-20,"148281"
"8820",1984,1,0,4,0,0,0,0,"130412","148281",2021-08-12,"140025"
"8821",1984,0,0,4,1,0,0,0,NA,"140025",2021-08-06,"44217"
"8822",1984,0,0,2,0,0,1,0,NA,"44217",2021-04-18,"45210"
"8823",1984,0,0,0,0,2,0,1,NA,"45210",2021-04-18,"27364"
"8824",1984,1,0,4,0,0,0,0,"27364","27364",2021-03-09,"29536"
"8825",1984,0,0,1,0,0,0,0,NA,"29536",2021-03-07,"28491"
"8826",1984,0,0,2,0,3,0,0,NA,"28491",2021-03-07,"NA"
"8827",1985,0,0,6,0,1,0,0,NA,"422376",2021-08-27,"184604"
"8828",1985,4,2,6,0,0,0,0,"27444","184604",2021-08-18,"NA"
"8829",1986,4,4,1,0,1,0,0,"7116","453663",2021-08-27,"NA"
"8830",1987,0,0,3,0,0,0,0,NA,"309398",2021-08-27,"241571"
"8831",1987,0,0,1,0,0,0,0,NA,"241571",2021-08-23,"114793"
"8832",1987,1,1,2,0,0,0,0,"105291","114793",2021-08-03,"84838"
"8833",1987,2,1,3,0,0,0,0,"72580","84838",2021-04-14,"24334"
"8834",1987,0,0,1,0,0,0,0,NA,"24334",2021-02-19,"NA"
"8835",1988,1,1,2,1,0,0,0,"656891","747799",2021-08-27,"410683"
"8836",1988,0,1,3,1,0,0,0,NA,"410683",2021-08-26,"257472"
"8837",1988,7,3,7,0,0,0,0,"269041","257472",2021-08-18,"99026"
"8838",1988,2,1,1,0,0,0,0,"99026","99026",2021-03-14,"196"
"8839",1988,0,0,1,0,0,0,0,NA,"196",2018-01-20,"NA"
"8840",1989,2,1,3,0,0,0,0,"253663","274100",2021-08-27,"NA"
"8841",1990,0,0,2,0,1,0,0,NA,"310795",2021-08-27,"0"
"8842",1990,0,0,1,0,1,1,1,NA,"0",2021-07-30,"24996"
"8843",1990,2,0,6,2,0,0,0,"24996","24996",2021-06-25,"47735"
"8844",1990,0,0,1,0,0,0,0,NA,"47735",2021-04-09,"43732"
"8845",1990,0,0,1,0,1,0,0,NA,"43732",2021-03-17,"NA"
"8846",1991,1,1,9,0,0,0,0,"281208","312100",2021-08-27,"187841"
"8847",1991,0,0,3,0,0,0,0,NA,"187841",2021-08-06,"110682"
"8848",1991,0,0,3,0,0,0,0,NA,"110682",2021-08-01,"104887"
"8849",1991,2,2,4,0,1,0,0,"64439","104887",2021-08-01,"NA"
"8850",1992,0,0,8,4,0,0,0,NA,"265884",2021-08-27,"14691"
"8851",1992,1,1,1,0,0,0,0,"12934","14691",2021-02-13,"NA"
"8852",1993,0,0,3,0,0,0,0,NA,"265853",2021-08-27,"258075"
"8853",1993,2,2,1,0,1,0,0,"28238","258075",2021-08-25,"90024"
"8854",1993,0,0,1,0,0,0,0,NA,"90024",2021-08-01,"81616"
"8855",1993,0,0,9,0,0,0,0,NA,"81616",2021-08-01,"38927"
"8856",1993,0,0,2,0,0,0,0,NA,"38927",2021-04-08,"38499"
"8857",1993,2,1,3,0,0,1,0,"25379","38499",2021-02-21,"1980"
"8858",1993,0,0,0,0,0,0,0,NA,"1980",2020-09-29,"1004"
"8859",1993,0,1,0,0,0,0,0,NA,"1004",2020-09-26,"862"
"8860",1993,0,0,0,0,1,0,1,NA,"862",2020-09-24,"726"
"8861",1993,1,0,1,0,1,1,1,"455","726",2020-09-24,"296"
"8862",1993,1,1,4,0,4,0,0,"272","296",2020-09-07,"NA"
"8863",1994,2,2,5,0,0,0,0,"348308","428230",2021-08-27,"263427"
"8864",1994,3,3,1,0,0,0,0,"9975","263427",2021-08-06,"NA"
"8865",1995,1,1,1,0,0,0,0,"281525","288688",2021-08-27,"NA"
"8866",1996,0,0,7,1,0,0,0,NA,"248367",2021-08-27,"71112"
"8867",1996,1,2,3,0,0,0,0,"31626","71112",2021-03-18,"1639"
"8868",1996,1,0,2,0,0,1,0,"1504","1639",2020-10-11,"1601"
"8869",1996,0,0,0,0,0,0,0,NA,"1601",2020-10-09,"1531"
"8870",1996,0,0,3,1,3,2,3,NA,"1531",2020-10-09,"1404"
"8871",1996,0,0,7,4,2,2,2,NA,"1404",2020-10-08,"1791"
"8872",1996,0,0,3,2,0,1,0,NA,"1791",2020-10-07,"681"
"8873",1996,0,0,0,0,0,0,0,NA,"681",2020-09-22,"726"
"8874",1996,0,0,0,0,0,0,0,NA,"726",2020-09-20,"532"
"8875",1996,0,0,0,0,0,0,0,NA,"532",2020-09-13,"458"
"8876",1996,0,0,6,1,1,0,1,NA,"458",2020-09-11,"126"
"8877",1996,0,0,1,0,0,0,0,NA,"126",2020-01-07,"NA"
"8878",1997,0,0,1,0,0,0,0,NA,"312774",2021-08-27,"261384"
"8879",1997,1,0,2,0,0,0,0,"241102","261384",2021-08-24,"210005"
"8880",1997,0,0,12,0,0,0,0,NA,"210005",2021-08-23,"151930"
"8881",1997,0,0,4,2,0,0,0,NA,"151930",2021-08-06,"36798"
"8882",1997,0,0,16,2,1,0,0,NA,"36798",2021-02-25,"33221"
"8883",1997,2,2,4,0,1,0,0,"2181","33221",2021-02-17,"NA"
"8884",1998,0,0,1,0,0,0,0,NA,"297165",2021-08-27,"262221"
"8885",1998,0,0,2,0,0,0,0,NA,"262221",2021-08-23,"199790"
"8886",1998,0,0,5,2,0,0,0,NA,"199790",2021-08-23,"67272"
"8887",1998,0,0,1,0,0,0,0,NA,"67272",2021-03-13,"54247"
"8888",1998,0,0,2,0,0,0,0,NA,"54247",2021-03-12,"22487"
"8889",1998,0,0,1,0,0,1,0,NA,"22487",2021-02-16,"2432"
"8890",1998,0,0,2,0,1,0,1,NA,"2432",2020-10-03,"300"
"8891",1998,0,0,2,0,0,0,0,NA,"300",2020-05-16,"109"
"8892",1998,1,0,0,0,0,0,0,"109","109",2019-06-20,"NA"
"8893",1999,0,0,1,0,0,1,0,NA,"297102",2021-08-27,"258048"
"8894",1999,1,1,1,0,2,0,1,"47396","258048",2021-08-25,"219"
"8895",1999,0,0,2,1,1,0,0,NA,"219",2020-03-06,"139"
"8896",1999,1,0,3,0,0,0,0,"142","139",2020-02-04,"120"
"8897",1999,1,1,1,0,0,0,0,"81","120",2019-06-11,"NA"
"8898",2000,1,1,1,0,0,0,0,"261274","277666",2021-08-27,"73393"
"8899",2000,3,2,8,3,0,0,0,"80295","73393",2021-07-31,"49"
"8900",2000,0,0,1,0,0,0,0,NA,"49",2019-12-17,"47"
"8901",2000,0,0,2,0,0,0,0,NA,"47",2019-09-15,"NA"
"8902",2001,0,0,7,0,0,0,0,NA,"272268",2021-08-27,"243125"
"8903",2001,0,0,4,0,1,0,0,NA,"243125",2021-08-23,"50855"
"8904",2001,0,0,2,0,0,0,0,NA,"50855",2021-07-26,"39760"
"8905",2001,0,0,1,0,1,0,0,NA,"39760",2021-03-12,"14720"
"8906",2001,0,0,1,0,0,0,0,NA,"14720",2021-02-13,"NA"
"8907",2002,0,0,5,4,0,0,0,NA,"247559",2021-08-27,"226353"
"8908",2002,1,0,2,0,1,0,0,"189794","226353",2021-08-24,"0"
"8909",2002,0,0,4,1,6,7,6,NA,"0",2021-07-30,"30877"
"8910",2002,0,0,0,0,0,0,0,NA,"30877",2021-04-01,"30448"
"8911",2002,0,0,0,0,0,0,0,NA,"30448",2021-03-30,"29978"
"8912",2002,3,3,6,1,1,1,1,"8115","29978",2021-03-28,"33436"
"8913",2002,0,0,0,0,1,0,1,NA,"33436",2021-03-24,"32498"
"8914",2002,1,0,3,0,1,0,0,"31914","32498",2021-03-23,"NA"
"8915",2003,0,0,4,0,0,0,0,NA,"254267",2021-08-27,"40630"
"8916",2003,1,1,1,0,1,0,0,"21","40630",2021-07-22,"0"
"8917",2003,2,2,8,0,3,2,2,"27275","0",2021-07-09,"69865"
"8918",2003,2,1,3,1,1,1,1,"63476","69865",2021-05-03,"57730"
"8919",2003,1,0,4,0,0,0,0,"47112","57730",2021-04-27,"45262"
"8920",2003,0,0,2,0,0,0,0,NA,"45262",2021-04-08,"40936"
"8921",2003,0,0,1,0,1,0,0,NA,"40936",2021-04-08,"28244"
"8922",2003,0,0,2,0,3,0,0,NA,"28244",2021-03-07,"NA"
"8923",2004,0,1,4,0,0,0,0,NA,"308864",2021-08-27,"280332"
"8924",2004,5,4,24,5,3,3,3,"264124","280332",2021-08-24,"82086"
